4,6,12,20,3
28,4,7,6,5,4,3,4,3,4,4,7,5
30,6,7,3,6,3,6,4,4,4,6,5,6
33,7,7,5,6,4,7,5,4,7,6,3,5
31,5,6,3,7,3,4,7,4,7,5,4,7
25.0,-0.39863839001520124,-0.060864087474746136,-1.4187504585914028,1.042491617339421,0.9035324906258424,0.019000331062149763,3,5,3,4,5,3,5,3,2,2,4,2,0,1,0,1,1,1,1,1,0,0,0,0
14.0,-0.5344164536735052,-1.495053870814336,-0.7892583286979201,0.7437112837712267,-0.21216142171162652,-0.42686879403972283,2,2,1,2,2,3,1,3,2,1,2,1,0,0,0,1,1,1,0,1,1,0,1,0
48.0,0.5014483315248052,1.1581866529320277,0.25711687005627937,0.3145128958631717,1.3718621335497765,0.17555329395483268,6,8,3,7,11,4,11,6,5,4,7,4,1,0,0,1,1,0,1,1,0,0,1,0
35.0,-0.30928854644457765,0.6731255027739751,-0.2566301826925544,-0.36782572413276127,1.273733620139556,-0.2919526708256201,3,7,5,4,6,3,7,4,3,6,5,2,0,1,1,0,1,0,1,1,0,1,0,0
19.0,-2.65517604756347,0.3455179438887663,-0.39551645158029325,-0.289136856469942,0.45293632653350946,-0.16606090835106535,1,2,2,1,4,1,4,1,1,5,3,1,0,0,1,0,1,0,1,1,0,1,1,0
20.0,0.21493883009475503,-2.0223149331957355,-0.9430568084672624,1.4039587386592935,-0.018550804511640224,-1.6735046219902232,3,5,2,2,1,3,1,6,3,2,2,1,1,1,0,0,0,1,0,1,1,0,0,0
18.0,-1.072531834435658,-0.9925861794031909,0.10234768254966681,-0.43260928054801323,-0.6591823024364779,0.003937304431402774,3,2,4,3,2,3,2,2,2,3,3,1,1,0,1,0,0,1,0,1,0,1,1,0
25.0,0.4777540994335271,-0.25902864473889053,-0.5747092076133995,-0.42149822033988354,0.33982096418664376,-0.0073801499445730065,4,3,2,6,2,4,5,4,3,3,2,2,1,0,0,1,1,1,1,1,0,0,0,0
27.0,0.767296838706404,-1.1497925774943585,-0.7753361059569441,0.7731408558892489,-0.8018278433496938,1.3840157189326783,6,3,3,6,4,3,2,3,3,2,3,5,1,0,1,1,1,0,0,1,0,0,0,1
35.0,1.405205305878188,1.392325753491903,-0.8806408185297693,0.07689494858457142,-0.49343248220332664,0.9231626083419529,4,2,7,6,3,4,6,3,9,5,3,6,0,0,1,0,1,1,1,0,1,0,0,1
40.0,1.706604953678462,0.8735894156353792,0.009144345740137356,-0.3655392968325423,0.6490867326291062,-1.2228735366753067,6,4,4,7,5,9,8,5,5,6,5,5,0,0,0,1,1,1,1,1,0,1,0,0
22.0,0.5363360323820653,-0.9146909312612774,0.6205482159617352,-0.16093737686306336,-0.38826439897661413,-0.8855123738288486,5,3,3,2,2,3,2,3,4,4,3,4,1,0,0,0,1,0,0,1,1,1,0,1
75.0,-0.35674502576819417,0.5561217985339653,1.043860610918658,0.5264481613346957,1.3638865244171052,2.5391627162693324,10,7,6,10,28,2,10,3,9,6,11,8,1,0,0,1,1,0,1,0,0,1,1,0
29.0,-0.32449095782889353,-0.20586671709550514,-1.440041447683798,1.1907272561136402,1.2993968142644874,-0.8671461560495533,2,8,4,3,4,3,6,3,4,1,3,3,0,1,1,0,1,0,1,1,1,0,0,0
45.0,0.617640845511145,1.2170707969801102,0.22628826949887482,0.8474014325766388,0.17483301199147133,-1.216854892359239,6,5,6,3,4,4,5,7,6,9,11,8,0,0,0,0,1,0,0,1,1,1,1,1
43.0,1.0493473923208656,1.325105661514201,0.7345010648800456,-0.9544972619614205,-0.7511794246639284,-1.1304280531205302,3,2,7,4,2,7,6,7,9,8,5,7,0,0,1,0,0,1,0,1,1,1,1,0
62.0,0.7699773599307934,1.268389522403902,0.4244862440564507,0.9405355849620096,-0.8676410899793746,0.14586185242830943,10,3,3,4,9,7,3,8,9,9,11,14,1,0,0,0,1,0,0,0,1,1,1,1
32.0,-1.3698710567162966,-0.7717807494932586,0.8786735481908957,-0.2395945081938096,1.2093819706866338,0.5379600036919956,3,6,2,3,8,3,6,4,2,5,5,3,0,1,0,0,1,1,1,1,0,1,0,0
35.0,2.7344221590617415,0.09376543015194676,-1.4064052671815488,-0.034529656094808465,-0.9630156260661265,0.9771800008130732,6,2,3,8,3,7,3,6,5,2,3,8,1,0,0,1,0,1,0,1,0,0,0,1
32.0,0.04198006447002293,-0.13727181709781608,-0.12413238888165955,0.7403408179477382,-0.45246223234466937,0.7770497949036083,7,4,5,4,5,5,3,3,3,4,5,7,1,0,1,0,1,1,0,1,0,0,0,1
